date	heart_rate
2014-12-20 9:53:34	99
2014-12-20 9:53:43	99
2014-12-20 10:1:48	99
2014-12-20 10:1:49	99
2014-12-20 10:2:6	99
2014-12-20 10:2:8	99
2014-12-20 10:2:9	99
2014-12-20 10:2:11	99
2014-12-20 10:2:12	99
2015-1-11 11:0:22	99
2015-1-11 11:0:23	99
2015-1-11 11:0:24	99
2014-12-15 13:46:57	98
2014-12-15 13:46:58	98
2014-12-15 13:46:59	98
2014-12-15 13:47:0	98
2014-12-15 13:47:1	98
2014-12-15 13:47:2	98
2014-12-15 13:47:3	98
2014-12-15 13:47:4	98
2014-12-15 13:47:5	98
2014-12-15 14:14:0	98
2014-12-15 14:14:13	98
2014-12-15 14:14:14	98
2014-12-15 14:14:15	98
2014-12-15 14:14:16	98
2014-12-15 16:11:3	98
2014-12-15 16:11:4	98
2014-12-20 9:53:44	98
2014-12-20 9:53:45	98
2014-12-20 9:53:48	98
2014-12-20 9:53:51	98
2014-12-20 9:53:57	98
2014-12-20 10:1:50	98
2014-12-20 10:2:7	98
2014-12-20 10:2:10	98
2014-12-20 10:2:13	98
2014-12-19 15:56:15	97
2014-12-19 15:56:20	97
2014-12-19 15:56:21	97
2014-12-20 9:51:57	97
2014-12-20 9:53:10	97
2014-12-20 9:53:11	97
2014-12-20 9:53:12	97
2014-12-20 9:53:35	97
2014-12-20 9:53:46	97
2014-12-20 9:53:47	97
2014-12-20 9:53:49	97
2014-12-20 9:53:50	97
2014-12-20 9:53:52	97
2014-12-20 9:53:53	97
2014-12-20 9:53:54	97
2014-12-15 16:11:0	96
2014-12-15 16:11:1	96
2014-12-19 15:56:16	96
2014-12-19 15:56:17	96
2014-12-19 15:56:18	96
2014-12-19 15:56:19	96
2014-12-20 8:51:31	96
2014-12-20 8:51:32	96
2014-12-20 9:53:23	96
2014-12-20 9:53:24	96
2014-12-20 9:53:55	96
2014-12-20 9:53:56	96
2014-12-15 16:10:58	95
2014-12-15 16:10:59	95
2014-12-20 9:53:9	95
2014-12-20 9:53:33	95
2014-12-20 10:2:15	95
2014-12-20 10:2:16	95
2015-1-8 15:10:13	95
2015-1-11 12:24:24	95
2015-1-13 14:5:51	95
2015-1-13 14:5:52	95
2014-12-20 9:52:37	94
2014-12-20 9:52:38	94
2014-12-20 9:52:44	94
2014-12-20 9:53:22	94
2014-12-20 9:53:31	94
2014-12-20 10:2:14	94
2015-1-11 12:24:17	94
2015-1-11 12:24:18	94
2015-1-11 12:24:19	94
2015-1-11 12:24:20	94
2015-1-11 12:24:21	94
2015-1-11 12:24:22	94
2015-1-11 12:24:23	94
2015-1-11 12:24:25	94
2014-12-15 16:10:57	93
2014-12-20 8:51:34	93
2014-12-20 9:53:13	93
2014-12-20 9:53:20	93
2014-12-20 9:53:21	93
2014-12-20 9:53:28	93
2014-12-20 9:53:29	93
2014-12-20 9:53:32	93
2014-12-15 16:22:42	92
2014-12-20 9:52:32	92
2014-12-20 9:52:33	92
2014-12-20 9:52:34	92
2014-12-20 9:52:35	92
2014-12-20 9:52:36	92
2014-12-20 9:52:39	92
2014-12-20 9:52:40	92
2014-12-20 9:52:43	92
2014-12-20 9:53:17	92
2014-12-20 9:53:18	92
2014-12-20 9:53:19	92
2014-12-20 9:53:27	92
2014-12-20 9:53:30	92
2014-12-20 10:2:18	92
2015-1-8 15:10:14	92
2014-12-15 16:22:43	91
2014-12-15 16:22:44	91
2014-12-20 8:51:33	91
2014-12-20 8:51:35	91
2014-12-20 9:51:58	91
2014-12-20 9:52:7	91
2014-12-20 9:52:8	91
2014-12-20 9:52:26	91
2014-12-20 9:52:27	91
2014-12-20 9:52:31	91
2014-12-20 9:52:41	91
2014-12-20 9:52:42	91
2014-12-20 9:53:15	91
2014-12-20 9:53:16	91
2014-12-20 10:2:17	91
2014-12-15 16:22:45	90
2014-12-15 16:23:18	90
2014-12-15 16:23:19	90
2014-12-15 16:23:20	90
2014-12-15 16:23:21	90
2014-12-15 16:23:22	90
2014-12-19 15:56:22	90
2014-12-19 15:56:24	90
2014-12-19 15:56:25	90
2014-12-20 7:46:44	90
2014-12-20 7:46:45	90
2014-12-20 9:52:9	90
2014-12-20 9:52:25	90
2014-12-20 9:52:28	90
2014-12-20 9:52:29	90
2014-12-20 9:52:30	90
2014-12-20 10:2:19	90
2014-12-20 10:2:20	90
2015-1-11 13:55:34	90
2014-12-15 16:22:17	89
2014-12-15 16:22:24	89
2014-12-15 16:22:38	89
2014-12-15 16:22:41	89
2014-12-15 16:23:23	89
2014-12-20 9:52:6	89
2014-12-20 9:52:10	89
2014-12-20 9:52:23	89
2014-12-20 9:52:24	89
2014-12-20 9:53:14	89
2014-12-20 10:2:26	89
2015-1-13 14:5:50	89
2015-1-20 10:27:23	89
2015-1-21 9:38:20	89
2014-12-15 16:22:20	88
2014-12-15 16:22:22	88
2014-12-15 16:22:28	88
2014-12-15 16:22:29	88
2014-12-15 16:22:30	88
2014-12-15 16:22:34	88
2014-12-15 16:22:35	88
2014-12-15 16:22:36	88
2014-12-15 16:22:37	88
2014-12-15 16:22:39	88
2014-12-15 16:22:40	88
2014-12-15 16:22:46	88
2014-12-20 8:51:36	88
2014-12-20 8:51:41	88
2014-12-20 8:51:42	88
2014-12-20 8:51:43	88
2014-12-20 9:52:11	88
2015-1-13 13:50:42	88
2015-1-21 9:38:21	88
2015-1-21 9:38:22	88
2015-1-23 14:8:49	88
2015-1-23 14:8:50	88
2015-1-23 14:8:51	88
2015-1-23 14:8:52	88
2014-12-15 16:22:18	87
2014-12-15 16:22:19	87
2014-12-15 16:22:21	87
2014-12-15 16:22:23	87
2014-12-15 16:22:25	87
2014-12-15 16:22:26	87
2014-12-15 16:22:27	87
2014-12-15 16:22:31	87
2014-12-15 16:22:32	87
2014-12-15 16:22:33	87
2014-12-19 15:56:23	87
2014-12-20 8:51:38	87
2014-12-20 8:51:39	87
2014-12-20 8:51:40	87
2014-12-20 8:51:44	87
2014-12-20 8:51:45	87
2014-12-20 8:51:46	87
2014-12-20 8:51:47	87
2014-12-20 9:51:59	87
2014-12-20 9:52:5	87
